address,#hits
23.246.46.144,907
198.45.62.153,906
23.246.26.134,905
45.57.27.155,904
108.175.43.151,899
198.38.125.208,895
23.246.10.150,893
173.246.157.202,892
23.246.14.148,891
45.57.10.138,890
23.246.14.149,890
23.246.29.137,887
23.246.28.135,885
23.246.15.174,883
45.57.44.239,882
198.38.110.151,878
185.2.223.151,875
108.175.43.205,872
173.246.157.200,870
23.246.10.148,869
185.2.222.154,865
23.246.10.149,863
23.246.15.167,863
23.246.16.151,861
23.246.16.164,861
23.246.29.133,860
23.246.26.132,858
45.57.45.131,858
198.38.111.150,857
45.57.27.163,857
23.246.10.144,854
45.57.27.147,853
23.246.14.170,849
76.9.223.11,848
23.246.15.151,848
173.246.157.197,845
23.246.14.153,845
23.246.11.147,844
23.246.14.132,842
198.38.111.148,841
23.246.14.150,840
23.246.16.156,840
173.246.157.198,840
23.246.16.166,837
23.246.15.172,835
23.246.16.140,834
37.77.186.134,833
23.246.27.132,833
23.246.14.152,830
37.77.186.130,830
23.246.15.149,829
45.57.26.154,828
23.246.11.144,826
23.246.46.142,825
23.246.10.146,824
23.246.46.136,823
23.246.11.143,820
23.246.7.211,819
23.246.6.151,813
45.57.36.130,812
37.77.186.141,812
23.246.16.150,809
45.57.22.133,805
173.246.157.199,804
45.57.36.133,803
37.77.186.137,802
23.246.6.145,802
23.246.51.136,800
23.246.16.171,800
173.246.157.201,796
37.77.186.140,795
108.175.42.137,794
45.57.26.164,794
23.246.14.172,793
45.57.1.142,793
23.246.7.201,789
23.246.11.151,788
23.246.26.136,783
108.175.43.185,780
45.57.44.242,779
45.57.36.132,777
173.246.157.196,776
45.57.36.135,773
23.246.8.160,772
23.246.5.162,771
23.246.26.138,770
23.246.7.194,770
23.246.51.140,768
108.175.38.188,765
23.246.7.195,764
23.246.14.154,758
37.77.186.132,757
23.246.16.159,756
23.246.11.149,756
23.246.15.146,755
23.246.7.208,754
185.2.223.159,753
198.38.117.164,752
198.38.110.152,751
198.38.110.165,746
23.246.51.137,745
23.246.11.146,744
23.246.10.152,743
185.2.223.158,741
185.2.223.150,738
23.246.11.141,738
23.246.6.201,737
37.77.186.142,736
37.77.186.136,736
45.57.27.162,735
23.246.11.140,734
23.246.7.198,731
23.246.16.168,728
45.57.27.160,724
185.2.222.151,723
198.38.108.163,722
23.246.44.141,720
23.246.14.147,720
45.57.26.166,715
108.175.43.167,714
108.175.43.210,709
202.124.124.170,707
185.2.222.157,700
23.246.6.210,700
198.38.108.212,700
23.246.51.141,698
198.38.110.164,695
198.38.121.157,695
23.246.51.139,693
23.246.31.166,689
23.246.7.202,689
23.246.16.153,688
23.246.11.142,683
109.159.156.109,682
23.246.16.165,682
23.246.51.134,682
185.2.222.158,680
109.159.156.119,678
23.246.44.135,677
37.77.187.137,675
23.246.30.165,672
45.57.26.140,672
198.38.108.240,672
198.38.119.158,671
37.77.186.138,668
23.246.44.139,668
108.175.42.181,667
23.246.7.206,667
37.77.186.133,666
45.57.27.158,664
23.246.44.137,664
23.246.7.203,662
45.57.1.145,660
108.175.42.194,659
23.246.16.170,657
185.2.223.147,652
185.2.223.148,650
23.246.16.161,649
45.57.26.161,647
198.38.119.143,645
23.246.7.207,644
45.57.1.136,642
45.57.1.139,641
23.246.44.144,639
198.38.117.166,638
185.2.223.156,637
45.57.1.141,636
45.57.26.157,636
23.246.6.209,635
109.159.156.113,635
23.246.11.154,634
108.175.42.134,626
45.57.26.148,625
23.246.51.138,622
198.38.119.141,620
45.57.20.136,619
198.38.119.152,617
108.175.43.194,615
45.57.27.151,615
23.246.44.149,614
23.246.44.150,613
186.208.1.66,613
108.175.43.201,611
45.57.27.157,607
45.57.1.144,606
23.246.44.138,606
45.57.20.135,605
198.38.111.153,605
23.246.29.138,605
23.246.30.158,604
108.175.42.186,604
185.2.222.148,603
23.246.7.205,601
23.246.6.207,600
198.38.117.142,600
45.57.1.140,599
198.38.111.163,599
45.57.1.147,597
23.246.44.147,597
109.159.156.107,596
23.246.6.204,592
45.57.26.150,590
198.45.63.174,590
45.57.1.143,589
109.159.156.117,587
108.175.43.139,587
185.2.222.149,586
185.2.223.154,586
23.246.14.145,585
198.38.119.150,585
23.246.7.144,584
108.175.42.190,584
45.57.26.159,583
23.246.45.148,582
23.246.30.161,582
108.175.43.180,581
23.246.7.199,580
23.246.6.195,578
45.57.20.134,577
108.175.42.185,577
198.38.119.148,577
23.246.6.205,576
108.175.42.182,576
185.2.223.152,574
212.56.73.233,573
23.246.7.196,573
198.38.109.166,572
198.38.117.148,572
